"visit_id","user_spend","variant"
51763,0,"A"
52436,0,"A"
50203,0,"A"
56289,0,"A"
14265,0,"A"
16182,0,"A"
93690,0,"A"
8846,0,"A"
19483,0,"A"
19775,0,"A"
96992,0,"A"
24013,0,"A"
96940,0,"A"
80714,0,"A"
56142,0,"A"
81047,0,"A"
83354,0,"A"
311,0,"A"
11678,0,"A"
12806,0,"A"
25677,0,"A"
78541,0,"A"
57573,0,"A"
69399,0,"A"
58740,0,"A"
46085,0,"A"
22553,0,"A"
16235,0,"A"
4787,0,"A"
51231,0,"A"
84637,0,"A"
58862,0,"A"
24251,0,"A"
30650,0,"A"
73498,0,"A"
99551,0,"A"
68835,0,"A"
82436,0,"A"
78012,0,"A"
52576,0,"A"
53959,0,"A"
77587,0,"A"
30198,0,"A"
78531,0,"A"
77246,0,"A"
75777,0,"A"
28265,0,"A"
94036,0,"A"
43679,0,"A"
86062,0,"A"
99028,0,"A"
58842,0,"A"
81513,0,"A"
9234,0,"A"
15389,0,"A"
78639,0,"A"
93661,0,"A"
51946,0,"A"
91253,0,"A"
58551,0,"A"
15001,0,"A"
21928,0,"A"
37330,0,"A"
33414,0,"A"
64382,0,"A"
32584,0,"A"
91353,0,"A"
45958,0,"A"
8200,0,"A"
53189,0,"A"
75695,0,"A"
55163,0,"A"
18605,0,"A"
10485,0,"A"
73812,0,"A"
63531,0,"A"
41550,0,"A"
24814,0,"A"
6375,0,"A"
44724,0,"A"
8790,0,"A"
52120,0,"A"
92237,0,"A"
39598,0,"A"
83694,0,"A"
26479,0,"A"
48643,0,"A"
76726,0,"A"
64394,0,"A"
74623,0,"A"
43400,0,"A"
27640,0,"A"
44499,0,"A"
11039,0,"A"
35214,0,"A"
27364,0,"A"
30716,0,"A"
45013,0,"A"
2178,0,"A"
9376,0,"A"
96806,0,"A"
61455,0,"A"
93638,0,"A"
80983,0,"A"
64600,0,"A"
89227,0,"A"
94758,0,"A"
22333,0,"A"
87099,0,"A"
69400,0,"A"
19439,0,"A"
90905,0,"A"
14300,0,"A"
86131,0,"A"
37229,0,"A"
97087,0,"A"
16171,0,"A"
86265,0,"A"
14336,0,"A"
30109,0,"A"
51972,0,"A"
14563,0,"A"
70057,0,"A"
95431,0,"A"
70885,0,"A"
55083,0,"A"
54062,0,"A"
36186,0,"A"
83,0,"A"
87610,0,"A"
9688,0,"A"
12407,0,"A"
29330,0,"A"
55331,0,"A"
72186,0,"A"
67729,0,"A"
98291,0,"A"
61813,0,"A"
78526,0,"A"
16605,0,"A"
63670,0,"A"
56140,0,"A"
21824,0,"A"
94438,0,"A"
83188,0,"A"
45719,0,"A"
98346,0,"A"
29110,0,"A"
73701,0,"A"
47367,0,"A"
29924,0,"A"
41760,0,"A"
57250,0,"A"
67389,0,"A"
26258,0,"A"
53733,0,"A"
32227,0,"A"
8349,0,"A"
33354,0,"A"
77410,0,"A"
58065,0,"A"
64354,0,"A"
87408,0,"A"
82681,0,"A"
18721,0,"A"
18613,0,"A"
46771,0,"A"
12484,0,"A"
78616,0,"A"
39137,0,"A"
33450,0,"A"
80352,0,"A"
87519,0,"A"
23042,0,"A"
90208,0,"A"
68283,0,"A"
12069,0,"A"
12714,0,"A"
54375,0,"A"
69388,0,"A"
57388,0,"A"
86828,0,"A"
30369,0,"A"
15626,0,"A"
36244,0,"A"
57737,0,"A"
29074,0,"A"
45097,0,"A"
90268,0,"A"
96358,0,"A"
91061,0,"A"
87296,0,"A"
68651,0,"A"
13438,0,"A"
35616,0,"A"
44855,0,"A"
97654,0,"A"
1489,0,"A"
95461,0,"A"
89430,0,"A"
28958,0,"A"
43204,0,"A"
6487,0,"A"
94338,0,"A"
97831,0,"A"
49267,0,"A"
27738,0,"A"
48817,0,"A"
53714,0,"A"
85113,0,"A"
18118,0,"A"
38790,0,"A"
15551,0,"A"
43652,0,"A"
47246,0,"A"
63134,0,"A"
91559,0,"A"
31591,0,"A"
14956,0,"A"
17939,0,"A"
